index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
60,Lights Out - 2008 Remaster,UFO,UFO,Lights Out - 2008 Remaster,Lights Out (2008 Remaster),4,1977-01-01,spotify:track:4BwQ3c9ZNdJcPKtQEcpfXz,-60
NA,Like a Hurricane - 2017 Remaster,Neil Young,Neil Young,Like a Hurricane - 2017 Remaster,Decade,31,1977,spotify:track:1n6gDSllAqVSweuFD82hNH,NA
12,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,Distant Light (1999 Remaster),7,1971-10-08,spotify:track:5UwbnHhjnbinJH8TefuQfN,-12
171,Long Live Rock N Roll,Rainbow,Rainbow,Long Live Rock N Roll,Long Live Rock 'n' Roll,1,1978-01-01,spotify:track:2ilsr4UkwAL10MspiJtKA3,-171
119,"Long, Long Way from Home",Foreigner,Foreigner,"Long, Long Way from Home",Foreigner (Expanded),6,1977-03-08,spotify:track:21D0muOMLK4P0jrsAYKLij,-119
120,"Lonliness (Sigma Sound, Philadelphia, 1978) - Live",Horslips,Horslips,"Lonliness (Sigma Sound, Philadelphia, 1978) - Live",The Man Who Built America (Bonus Tracks Version),12,2009-08-21,spotify:track:3cyBzzRlap1T4yRlBqecXQ,-120
372,"Lord, Don’t Move My Mountain",New England Spiritual Ensemble,New England Spiritual Ensemble,"Lord, Don’t Move My Mountain",Comin' Up Shouting!,22,1997-01-01,spotify:track:0x2c7rSatFLDSEY1o4FviZ,-372
20,Louisiana Lady,New Riders of the Purple Sage,New Riders of the Purple Sage,Louisiana Lady,New Riders Of The Purple Sage,10,1971,spotify:track:4ZwlmpWJAdE7wZ4ZR3EskM,-20
105,Love At The Pier - Remastered,Blondie,Blondie,Love At The Pier - Remastered,Plastic Letters,9,1978-02-01,spotify:track:41ChaFLDAx7X8bRSn2SUJR,-105
159,Love Me Tonight,Head East,Head East,Love Me Tonight,Flat As A Pancake,3,1975-01-01,spotify:track:4QTRA2WSXCahYOeRuOcY8J,-159
212,Love of the Common Man,Todd Rundgren,Todd Rundgren,Love of the Common Man,The Very Best of Todd Rundgren,9,1997-07-29,spotify:track:2DcPccXuyphsJ7fC955j5x,-212
91,Love On the Wrong Side of Town,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Love On the Wrong Side of Town,The Best Of Southside Johnny And The Asbury Jukes,4,1976,spotify:track:501MRMaNAgp909AAu2sPev,-91
185,Magic Carpet Ride,Steppenwolf,Steppenwolf,Magic Carpet Ride,The Second,7,1968-10-01,spotify:track:4c4jJJoaiY21t2TyRZgdWS,-185
198,Maid In Heaven - 2019 Remaster,Be Bop Deluxe,Be Bop Deluxe,Maid In Heaven - 2019 Remaster,Futurama (Remastered & Expanded),3,1975-05-17,spotify:track:2Iw5EtH0fpF7r5QX5zA94F,-198
36,Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,Steve Harley,Make Me Smile (Come up and See Me) - 2014 Remaster,The Best Years of Our Lives (Deluxe Version),6,1975-03-22,spotify:track:184QpO8ZchGncbNyJe9SDT,-36
247,Man On The Silver Mountain,Rainbow,Rainbow,Man On The Silver Mountain,Ritchie Blackmore's Rainbow,1,1975-01-01,spotify:track:52bzQkgk8TznulGvKOPQTK,-247
7,"Me, I Disconnect From You",Gary Numan / Tubeway Army,Gary Numan / Tubeway Army,"Me, I Disconnect From You",Replicas Redux,1,1979,spotify:track:5zJTXLI9SP4kr95ed5qqu7,-7
312,Melissa,The Allman Brothers Band,The Allman Brothers Band,Melissa,Eat A Peach,3,1972-02-12,spotify:track:30St98Bok3jJmXdkkHVPQe,-312
39,Message In A Bottle,The Police,The Police,Message In A Bottle,Reggatta De Blanc (Remastered 2003),1,1979-10-02,spotify:track:1oYYd2gnWZYrt89EBXdFiO,-39
245,Message of Love,Pretenders,Pretenders,Message of Love,The Singles,7,1987,spotify:track:08xxP1zt8BaXwWr545EuHG,-245
143,Metropolis,Amon Düül II,Amon Düül II,Metropolis,Made In Germany,6,1975,spotify:track:1xYWMlzTgHwDdyO1X9WzhG,-143
128,Midwest Midnight - Live,Michael Stanley Band,Michael Stanley Band,Midwest Midnight - Live,Stagepass,1,1977,spotify:track:0X8oeGIEMz6SFSfqSMuHmW,-128
136,Miracle Man,Elvis Costello,Elvis Costello,Miracle Man,My Aim Is True,2,1977-07-22,spotify:track:4PMmRKupIkdHQzSNxCPP1C,-136
237,Miss America,Styx,Styx,Miss America,The Grand Illusion,5,1977-01-01,spotify:track:2UpMxlf6h57UsAU77G172s,-237
270,Money,The Flying Lizards,The Flying Lizards,Money,The Flying Lizards,6,1979,spotify:track:5rgY6vN5CaEL3boucCi3CT,-270
133,Mongoloid,DEVO,DEVO,Mongoloid,Q: Are We Not Men? A: We Are Devo!,5,1978,spotify:track:3bGG7jaMbcx8JDl3gLUvo7,-133
343,Mother Of Love - Remastered,Nitty Gritty Dirt Band,Nitty Gritty Dirt Band,Mother Of Love - Remastered,Symphonion Dream,13,2003-01-01,spotify:track:6uybBsEHbwtAckrzKtwN77,-343
48,Musta Got Lost - Live,The J. Geils Band,The J. Geils Band,Musta Got Lost - Live,Live: Blow Your Face Out,4,1976,spotify:track:05GTtG1ckPWfGOC0mHGJ0V,-48
